source,target,value
台灣出國人數,亞洲,92.8
台灣出國人數,美洲,4.27
台灣出國人數,歐洲,1.77
台灣出國人數,大洋洲,1.08
台灣出國人數,非洲,0.04
台灣出國人數,其他,0.04
亞洲,香港,13.04
亞洲,大陸,25.26
亞洲,日本,29.44
亞洲,韓國,5.54
亞洲,其他,28.52
美洲,美國,3.61
美洲,加拿大,0.64
美洲,其他,0.02
歐洲,法國,0.32
歐洲,德國,0.46
歐洲,奧地利,0.29
歐洲,荷蘭,0.23
歐洲,英國,0.11
歐洲,其他,0.34
大洋洲,澳大利亞,0.96
大洋洲,紐西蘭,0.02
大洋洲,帛琉,0.1
大洋洲,其他,0.01
非洲,南非,0.01
非洲,其他,0.04
